species,atom_index,symbol,old_charge,new_charge,delta,abs_delta
glucose_23,27,H,0.17524503110288725,0.1727035289567488,-0.0025415021461384635,0.0025415021461384635
glucose_23,28,H,-0.14114354560792564,0.0004086102250162073,0.14155215583294184,0.14155215583294184
glucose_23,29,H,-0.1411435456079263,0.0004086102250162073,0.1415521558329425,0.1415521558329425
glucose_23,30,H,0.13976542116793486,0.35587674366174277,0.2161113224938079,0.2161113224938079
glucose_23,31,H,-0.17129753407181625,-0.032338749740675465,0.13895878433114078,0.13895878433114078
glucose_23,32,H,-0.17129753407181575,-0.032338749740675465,0.13895878433114028,0.13895878433114028
glucose_26,0,H,0.38702539890931,0.38224285690659765,-0.004782542002712331,0.004782542002712331
glucose_26,1,O,-0.6569620137610053,-0.616021346045962,0.04094066771504323,0.04094066771504323
glucose_26,2,C,0.5262125996903805,0.4405459673397347,-0.08566663235064575,0.08566663235064575
glucose_26,3,O,-0.5829106789828815,-0.5496515984288735,0.03325908055400806,0.03325908055400806
glucose_26,4,C,0.6183145515275817,0.46246562100437827,-0.15584893052320348,0.15584893052320348
glucose_26,5,C,-0.09306547842366679,-0.23724092103945155,-0.14417544261578474,0.14417544261578474
glucose_26,6,O,-0.6280615769660705,-0.3450495809405872,0.28301199602548327,0.28301199602548327
glucose_26,7,C,0.8704009648427572,0.17384483810714668,-0.6965561267356105,0.6965561267356105
glucose_26,8,C,0.5222715762076605,0.8339060974776588,0.31163452126999824,0.31163452126999824
glucose_26,9,O,-0.7989347787350759,-0.8313506773221091,-0.0324158985870332,0.0324158985870332
glucose_26,10,O,-0.7233367974725848,-0.8313506773221091,-0.10801387984952426,0.10801387984952426
glucose_26,11,C,-0.737130886727074,-0.4723160520787741,0.26481483464829997,0.26481483464829997
glucose_26,12,H,0.12390663975174465,0.07066013451829078,-0.05324650523345387,0.05324650523345387
glucose_26,13,C,0.38916244676784645,0.36226078741040074,-0.026901659357445706,0.026901659357445706
glucose_26,14,O,-0.6455450477868759,-0.6471301660611722,-0.0015851182742963044,0.0015851182742963044
glucose_26,15,C,0.19787740575154894,-0.18593169711468044,-0.3838091028662294,0.3838091028662294
glucose_26,16,O,-0.6592270797017035,-0.351586992550709,0.30764008715099445,0.30764008715099445
glucose_26,17,C,0.8932919981665717,0.15950098355826042,-0.7337910146083113,0.7337910146083113
glucose_26,18,C,0.4731539237376252,0.8730113356851236,0.39985741194749835,0.39985741194749835
glucose_26,19,O,-0.6943416467321112,-0.8404626633463376,-0.14612101661422638,0.14612101661422638
glucose_26,20,O,-0.7788122770055144,-0.8404626633463376,-0.061650386340823204,0.061650386340823204
glucose_26,21,H,-0.0173073743053299,0.02482868169096222,0.042136055996292124,0.042136055996292124
glucose_26,22,H,0.014639800134790493,0.050694532566764275,0.03605473243197378,0.03605473243197378
glucose_26,23,H,0.08437014639114136,0.14473029303113255,0.06036014663999119,0.06036014663999119
glucose_26,24,H,0.08437014639114127,0.14473029303113255,0.060360146639991286,0.060360146639991286
glucose_26,25,H,-0.1988861048766335,-0.04945917725578239,0.1494269276208511,0.1494269276208511
glucose_26,26,H,-0.19888610487663466,-0.04945917725578239,0.14942692762085227,0.14942692762085227
glucose_26,27,H,0.19590446492475339,0.14228586181185518,-0.053618603112898205,0.053618603112898205
glucose_26,28,H,0.0468962913066014,0.035705217808955816,-0.01119107349764558,0.01119107349764558
glucose_26,29,H,0.3365551002047865,0.3649037400219357,0.02834863981714919,0.02834863981714919
glucose_26,30,H,0.06641247705719627,0.27228122760689877,0.2058687505497025,0.2058687505497025
glucose_26,31,H,-0.20867904270513807,-0.04556253973428025,0.16311650297085784,0.16311650297085784
glucose_26,32,H,-0.20867904270513798,-0.04556253973428025,0.16311650297085772,0.16311650297085772
glucose_36,0,H,0.4123201477451812,0.4076229875196782,-0.004697160225503039,0.004697160225503039
glucose_36,1,O,-0.7248479349664997,-0.7140208092773648,0.010827125689134909,0.010827125689134909
glucose_36,2,C,0.5980236718937535,0.6355020910549223,0.037478419161168786,0.037478419161168786
glucose_36,3,O,-0.6047710501386516,-0.6177435873873879,-0.01297253724873626,0.01297253724873626
glucose_36,4,C,0.40035440815690504,0.42033297767647887,0.01997856951957383,0.01997856951957383
glucose_36,5,C,0.04138260538230565,-0.20591044693182614,-0.2472930523141318,0.2472930523141318
glucose_36,6,O,-0.6323067414126664,-0.36792330597130163,0.2643834354413648,0.2643834354413648
glucose_36,7,C,0.8733974063999415,0.18852084587421977,-0.6848765605257217,0.6848765605257217
glucose_36,8,C,0.5324123387005386,0.862556615732164,0.3301442770316254,0.3301442770316254
glucose_36,9,O,-0.7976176361366062,-0.8415770778175409,-0.043959441680934686,0.043959441680934686
glucose_36,10,O,-0.7347947025639315,-0.8415770778175409,-0.10678237525360934,0.10678237525360934
glucose_36,11,C,-0.870693689517623,-0.7221748075056853,0.14851888201193775,0.14851888201193775
glucose_36,12,H,0.24999454108542657,0.22380152528375855,-0.026193015801668024,0.026193015801668024
glucose_36,13,C,0.5951973327566309,0.2004822429266354,-0.3947150898299955,0.3947150898299955
